company,year,revenue,expenses,profit
NorthPeak Retail,2016,108609,85758,22851
NorthPeak Retail,2017,118928,96261,22667
NorthPeak Retail,2018,123802,97429,26373
NorthPeak Retail,2019,134023,106794,27228
NorthPeak Retail,2020,104184,82458,21725
NorthPeak Retail,2021,114351,92370,21981
NorthPeak Retail,2022,123650,100314,23336
NorthPeak Retail,2023,134698,106601,28097
NorthPeak Retail,2024,146467,115769,30698
Helvora Logistics,2016,266892,226725,40167
Helvora Logistics,2017,279250,235461,43789
Helvora Logistics,2018,300040,254571,45470
Helvora Logistics,2019,312472,264501,47971
Helvora Logistics,2020,331422,282920,48502
Helvora Logistics,2021,350729,299631,51098
Helvora Logistics,2022,383289,370232,13056
Helvora Logistics,2023,398526,335504,63022
Helvora Logistics,2024,423362,364638,58725
Baltic Foods,2016,65863,50820,15043
Baltic Foods,2017,71364,56128,15236
Baltic Foods,2018,79561,62489,17071
Baltic Foods,2019,86458,67638,18820
Baltic Foods,2020,95305,74547,20759
Baltic Foods,2021,106497,83306,23191
Baltic Foods,2022,118593,92582,26010
Baltic Foods,2023,131138,126720,4418
Baltic Foods,2024,140430,109086,31343
Meridian Software,2016,136871,94935,41936
Meridian Software,2017,156649,111996,44653
Meridian Software,2018,177433,125921,51512
Meridian Software,2019,287211,200086,87125
Meridian Software,2020,331227,233801,97426
Meridian Software,2021,385623,272995,112627
Meridian Software,2022,440777,306506,134271
Meridian Software,2023,514457,359135,155321
Meridian Software,2024,578499,398394,180106
Alpine Energy,2016,408644,361639,47006
Alpine Energy,2017,426154,377958,48196
Alpine Energy,2018,439559,387509,52050
Alpine Energy,2019,462641,405693,56948
Alpine Energy,2020,485373,423915,61458
Alpine Energy,2021,501264,439198,62065
Alpine Energy,2022,509325,450687,58639
Alpine Energy,2023,524917,461992,62924
Alpine Energy,2024,550961,487306,63655
